,,,,,,
,Country,Election Year,Voter Turnout,Education,Poverty,Social
,Belgium,2024,"87,4","45,03","0,1","0,7"
,Denmark,2022,"84,2","45,05","0,4","0,6"
,Estonia,2023,"63,5","42,55","0,3","0,4"
,Finland,2023,"71,9","42,72","0,2","0,5"
,France,2024,"66,7","43,36","0,1","0,8"
,Greece,2023,"53,7","35,29","0,6","0,3"
,Ireland,2024,"59,7","57,55","0,1","0,9"
,Latvia,2022,"59,4","40,46","0,4","0,2"
,Lithuania,2024,"52,2","47,7","1,1","0,4"
,Luxembourg,2023,"87,2","54,35","0,1","0,7"
,Netherlands,2023,"78,1","45,1","0,1","0,6"
,Norway,2025,"80,1","50,44","0,2","0,8"
,Poland,2023,"74,5","39,45","0,2","0,5"
,Slovenia,2022,71,"34,64",0,"0,3"
,Spain,2023,"70,4","42,26","0,8","0,5"
,Sweden,2022,"84,2","51,83","0,8","0,7"
,Switzerland,2023,"46,7","46,46","0,2","0,4"
